Country,Year,CPR
Spain,1992,50
Spain,1993,51.3
Spain,1994,52.6
Spain,1995,53.7
Spain,1996,54.8
Spain,1997,55.7
Spain,1998,56.6
Spain,1999,57.4
Spain,2000,58.2
Spain,2001,58.7
Spain,2002,59.3
Spain,2003,59.8
Spain,2004,60.3
Spain,2005,60.9
Spain,2006,61.5
Spain,2007,62.3
Spain,2008,63.1
Spain,2009,63.5
Spain,2010,63.4
Spain,2011,63.3
Spain,2012,63
Spain,2013,62.6
Spain,2014,62.3
Spain,2015,61.9
Spain,2016,61.6
Spain,2017,61.5
Spain,2018,61.4
Spain,2019,61.6
Spain,2020,62
Spain,2021,62.5
Spain,2022,63
Spain,2023,63.2
Spain,2024,63.4
Sweden,1990,59.8
Sweden,1991,59.8
Sweden,1992,59.8
Sweden,1993,59.8
Sweden,1994,59.9
Sweden,1995,59.9
Sweden,1996,59.9
Sweden,1997,59.8
Sweden,1998,59.8
Sweden,1999,59.7
Sweden,2000,59.7
Sweden,2001,59.5
Sweden,2002,59.5
Sweden,2003,59.4
Sweden,2004,59.3
Sweden,2005,59.2
Sweden,2006,59
Sweden,2007,58.9
Sweden,2008,58.8
Sweden,2009,58.8
Sweden,2010,58.7
Sweden,2011,58.7
Sweden,2012,58.7
Sweden,2013,58.7
Sweden,2014,58.7
Sweden,2015,58.6
Sweden,2016,58.6
Sweden,2017,58.6
Sweden,2018,58.5
Sweden,2019,58.6
Sweden,2020,58.5
Sweden,2021,58.6
Sweden,2022,58.6
Sweden,2023,58.6
Sweden,2024,58.6
