Country,Year,Old_age_dependency
South Korea,2023,27.8
South Korea,2024,29.4
Spain,1990,23.1
Spain,1991,24
Spain,1992,24.5
Spain,1993,24.8
Spain,1994,25.2
Spain,1995,25.6
Spain,1996,26.1
Spain,1997,26.5
Spain,1998,26.9
Spain,1999,27.1
Spain,2000,26.9
Spain,2001,27.2
Spain,2002,27
Spain,2003,26.8
Spain,2004,26.5
Spain,2005,26.4
Spain,2006,26.4
Spain,2007,26.4
Spain,2008,26.6
Spain,2009,26.8
Spain,2010,27.1
Spain,2011,27.5
Spain,2012,27.9
Spain,2013,28.5
Spain,2014,29
Spain,2015,30.6
Spain,2017,30.6
Spain,2019,31.7
Spain,2020,32.8
Spain,2021,33
Spain,2022,33.4
Spain,2023,34.5
Spain,2024,35.4
Sweden,1990,30.9
Sweden,1991,30.8
Sweden,1992,30.7
Sweden,1993,30.5
Sweden,1994,30.3
Sweden,1995,30.2
Sweden,1996,30
Sweden,1997,29.8
Sweden,1998,29.7
Sweden,1999,29.6
Sweden,2000,29.5
Sweden,2001,29.4
Sweden,2002,29.3
Sweden,2003,29.2
Sweden,2004,29.3
Sweden,2005,29.4
Sweden,2006,29.6
Sweden,2007,29.8
Sweden,2008,30.2
Sweden,2009,30.6
Sweden,2010,31.2
Sweden,2011,31.8
Sweden,2012,32.5
Sweden,2013,33.3
Sweden,2014,34.1
Sweden,2015,33.8
Sweden,2017,35.8
Sweden,2019,36.7
Sweden,2020,35.9
Sweden,2021,37.5
Sweden,2022,35.9
Sweden,2023,38.2
Sweden,2024,38.6
