Country,Year,Female_tertiary_education
Spain,2016,38.397327
Spain,2017,38.934372
Spain,2018,39.846661
Spain,2019,41.339748
Spain,2020,42.658867
Spain,2021,44.032066
Spain,2022,44.719719
Spain,2023,36.202
Sweden,1990,18.88
Sweden,1991,25.576601
Sweden,1992,26.258766
Sweden,1993,21.96
Sweden,1994,28.307768
Sweden,1995,29.530975
Sweden,1997,28.875975
Sweden,1998,29.554188
Sweden,1999,30.452808
Sweden,2000,32.199219
Sweden,2001,33.559277
Sweden,2002,34.85194
Sweden,2003,35.901234
Sweden,2004,37.503696
Sweden,2005,34.353493
Sweden,2006,35.169765
Sweden,2007,35.980637
Sweden,2008,36.906319
Sweden,2009,38.117825
Sweden,2010,38.915661
Sweden,2011,40.965481
Sweden,2012,41.47477
Sweden,2013,43.063572
Sweden,2014,45.048241
Sweden,2015,46.754311
Sweden,2016,48.042187
Sweden,2017,48.62455
Sweden,2018,50.303387
Sweden,2019,51.407867
Sweden,2020,52.181118
Sweden,2021,54.227333
Sweden,2022,56.250675
